word,views
skill issue,117.59016
baby gronk,187.14616000000004
looksmaxxing,163.23409999999993
mogging,191.69956000000005
nonchalant dreadhead,639.2705900000001
npc behavior,186.13789
rizzler,144.872
sussy baka,104.56779999999998
alpha,308.0634
aura,948.3154500000003
edging,95.44420000000001
fanum tax,415.8343699999999
freakbob,121.2047
goated,378.28459999999995
goofy ahh,146.06560000000002
gyatt,232.73190999999997
john pork,195.61234999999994
jonkler,380.7118
mew,245.36667999999997
mewing,1374.2607999999998
mog,134.41986999999997
rizz,424.2118600000001
sigma,1226.86926
skibidi,1025.0731399999995
tiktok rizz party,439.79593999999986
